Num_ID,Country_Area,Year,Unit,GDP_INT,Formatted
99,India,2021,US$,3.20E+12,"$3,201,470,000,000 "
100,Indonesia,2021,US$,1.19E+12,"$1,186,090,000,000 "
101,"Iran, Islamic Republic of",2021,US$,5.95E+11,"$594,892,000,000 "
102,Iraq,2021,US$,2.04E+11,"$204,004,000,000 "
103,Ireland,2021,US$,5.04E+11,"$504,183,000,000 "
104,Israel,2021,US$,4.82E+11,"$481,591,000,000 "
105,Italy,2021,US$,2.11E+12,"$2,107,700,000,000 "
106,Jamaica,2021,US$,14657583648,"$14,657,583,648 "
107,Japan,2021,US$,4.94E+12,"$4,940,880,000,000 "
108,Jordan,2021,US$,45243661971,"$45,243,661,971 "
109,Kazakhstan,2021,US$,1.93E+11,"$193,018,000,000 "
110,Kenya,2021,US$,1.10E+11,"$110,347,000,000 "
111,Kingdom of Eswatini,2021,US$,4732011476,"$4,732,011,476 "
112,Kiribati,2021,US$,227454166,"$227,454,166 "
113,Kosovo,2021,US$,9412100727,"$9,412,100,727 "
114,Kuwait,2021,US$,1.37E+11,"$136,642,000,000 "
115,Kyrgyzstan,2021,US$,8740681889,"$8,740,681,889 "
116,Lao People's Democratic Republic,2021,US$,19074407740,"$19,074,407,740 "
117,Latin America and the Caribbean,2021,US$,5.30E+12,"$5,304,770,000,000 "
118,Latvia,2021,US$,39853501579,"$39,853,501,579 "
119,Lebanon,2021,US$,37944879049,"$37,944,879,049 "
120,Lesotho,2021,US$,2373416385,"$2,373,416,385 "
121,Liberia,2021,US$,2444888955,"$2,444,888,955 "
122,Libya,2021,US$,39005706444,"$39,005,706,444 "
123,Liechtenstein,2021,US$,6607749611,"$6,607,749,611 "
124,Lithuania,2021,US$,66445256585,"$66,445,256,585 "
125,Luxembourg,2021,US$,85506243833,"$85,506,243,833 "
126,Madagascar,2021,US$,14449793300,"$14,449,793,300 "
127,Malawi,2021,US$,12199195236,"$12,199,195,236 "
128,Malaysia,2021,US$,3.73E+11,"$372,702,000,000 "
129,Maldives,2021,US$,5405576797,"$5,405,576,797 "
130,Mali,2021,US$,19157055766,"$19,157,055,766 "
131,Malta,2021,US$,17720643243,"$17,720,643,243 "
132,Marshall Islands,2021,US$,256979000,"$256,979,000 "
133,Mauritania,2021,US$,9996240419,"$9,996,240,419 "
134,Mauritius,2021,US$,11525219785,"$11,525,219,785 "
135,Melanesia,2021,US$,43574966176,"$43,574,966,176 "
136,Mexico,2021,US$,1.27E+12,"$1,272,840,000,000 "
137,Micronesia,2021,US$,1261431465,"$1,261,431,465 "
138,Micronesia (Federated States of),2021,US$,404178050,"$404,178,050 "
139,Middle Africa,2021,US$,2.32E+11,"$232,025,000,000 "
140,Monaco,2021,US$,8596156573,"$8,596,156,573 "
141,Mongolia,2021,US$,15098022751,"$15,098,022,751 "
142,Montenegro,2021,US$,5809147306,"$5,809,147,306 "
143,Montserrat,2021,US$,71552836,"$71,552,836 "
144,Morocco,2021,US$,1.43E+11,"$142,867,000,000 "
145,Mozambique,2021,US$,15776758632,"$15,776,758,632 "
146,Myanmar,2021,US$,58582089717,"$58,582,089,717 "
147,Namibia,2021,US$,12236251093,"$12,236,251,093 "
148,Nauru,2021,US$,155015920,"$155,015,920 "
149,Nepal,2021,US$,36207179305,"$36,207,179,305 "
150,Netherlands,2021,US$,1.01E+12,"$1,012,850,000,000 "
151,New Caledonia,2021,US$,10071349707,"$10,071,349,707 "
152,New Zealand,2021,US$,2.50E+11,"$250,451,000,000 "
153,Nicaragua,2021,US$,14013014452,"$14,013,014,452 "
154,Niger,2021,US$,14915001994,"$14,915,001,994 "
155,Nigeria,2021,US$,4.31E+11,"$430,923,000,000 "
156,Northern Africa,2021,US$,8.54E+11,"$853,806,000,000 "
157,Northern America,2021,US$,2.53E+13,"$25,313,900,000,000 "
158,Northern Europe,2021,US$,5.62E+12,"$5,618,100,000,000 "
159,Norway,2021,US$,4.82E+11,"$482,175,000,000 "
160,Oceania,2021,US$,2.04E+12,"$2,037,590,000,000 "
161,Oman,2021,US$,88191977477,"$88,191,977,477 "
162,Pakistan,2021,US$,3.43E+11,"$342,501,000,000 "
163,Palau,2021,US$,217804328,"$217,804,328 "
164,Panama,2021,US$,63605065781,"$63,605,065,781 "
165,Papua New Guinea,2021,US$,26594518500,"$26,594,518,500 "
166,Paraguay,2021,US$,40458386036,"$40,458,386,036 "
167,Peru,2021,US$,2.23E+11,"$223,252,000,000 "
168,Philippines,2021,US$,3.94E+11,"$394,086,000,000 "
169,Poland,2021,US$,6.79E+11,"$679,442,000,000 "
170,Polynesia,2021,US$,7771482799,"$7,771,482,799 "
171,Portugal,2021,US$,2.54E+11,"$253,663,000,000 "
172,Puerto Rico,2021,US$,1.07E+11,"$106,526,000,000 "
173,Qatar,2021,US$,1.80E+11,"$179,571,000,000 "
174,Republic of Korea,2021,US$,1.81E+12,"$1,810,970,000,000 "
175,Republic of Moldova,2021,US$,13680098589,"$13,680,098,589 "
176,Republic of North Macedonia,2021,US$,13881177347,"$13,881,177,347 "
177,Romania,2021,US$,2.84E+11,"$284,086,000,000 "
178,Russian Federation,2021,US$,1.78E+12,"$1,778,780,000,000 "
179,Rwanda,2021,US$,11069922510,"$11,069,922,510 "
180,Saint Kitts and Nevis,2021,US$,860844444,"$860,844,444 "
181,Saint Lucia,2021,US$,1764902580,"$1,764,902,580 "
182,Saint Vincent and the Grenadines,2021,US$,880564698,"$880,564,698 "
183,Samoa,2021,US$,857261321,"$857,261,321 "
184,San Marino,2021,US$,1701595071,"$1,701,595,071 "
185,Sao Tome and Principe,2021,US$,554603296,"$554,603,296 "
186,Saudi Arabia,2021,US$,8.34E+11,"$833,541,000,000 "
187,Senegal,2021,US$,27625162483,"$27,625,162,483 "
188,Serbia,2021,US$,63068108023,"$63,068,108,023 "
189,Seychelles,2021,US$,1286662389,"$1,286,662,389 "
190,Sierra Leone,2021,US$,4249234286,"$4,249,234,286 "
191,Singapore,2021,US$,3.97E+11,"$396,992,000,000 "
192,Sint Maarten (Dutch part),2021,US$,1153842826,"$1,153,842,826 "
193,Slovakia,2021,US$,1.17E+11,"$116,527,000,000 "
194,Slovenia,2021,US$,61748586534,"$61,748,586,534 "
195,Solomon Islands,2021,US$,1632291060,"$1,632,291,060 "
196,Somalia,2021,US$,7628276433,"$7,628,276,433 "
197,South Africa,2021,US$,4.19E+11,"$419,016,000,000 "
198,South America,2021,US$,3.32E+12,"$3,320,420,000,000 "
199,South Sudan,2021,US$,4304069241,"$4,304,069,241 "
200,South-Eastern Asia,2021,US$,3.34E+12,"$3,342,330,000,000 "
201,Southern Africa,2021,US$,4.56E+11,"$455,972,000,000 "
202,Southern Asia,2021,US$,4.70E+12,"$4,698,010,000,000 "
203,Southern Europe,2021,US$,4.29E+12,"$4,290,870,000,000 "
204,Spain,2021,US$,1.43E+12,"$1,427,380,000,000 "
205,Sri Lanka,2021,US$,85308759182,"$85,308,759,182 "
206,State of Palestine,2021,US$,18036800000,"$18,036,800,000 "
207,Sub-Saharan Africa,2021,US$,1.87E+12,"$1,872,840,000,000 "
208,Sudan,2021,US$,35867261254,"$35,867,261,254 "
209,Suriname,2021,US$,3223849312,"$3,223,849,312 "
210,Sweden,2021,US$,6.36E+11,"$635,664,000,000 "
211,Switzerland,2021,US$,8.13E+11,"$812,867,000,000 "
212,Syrian Arab Republic,2021,US$,19718893436,"$19,718,893,436 "
213,Tajikistan,2021,US$,8746309306,"$8,746,309,306 "
214,Thailand,2021,US$,5.06E+11,"$505,982,000,000 "
215,Timor-Leste,2021,US$,2004164748,"$2,004,164,748 "
216,Togo,2021,US$,8160194302,"$8,160,194,302 "
217,Tonga,2021,US$,471831997,"$471,831,997 "
218,Trinidad and Tobago,2021,US$,24460196270,"$24,460,196,270 "
219,Tunisia,2021,US$,46687298709,"$46,687,298,709 "
220,Turkmenistan,2021,US$,53954394308,"$53,954,394,308 "
221,Turks and Caicos Islands,2021,US$,943269768,"$943,269,768 "
222,Tuvalu,2021,US$,60170177,"$60,170,177 "
223,Türkiye,2021,US$,8.19E+11,"$819,034,000,000 "
224,Uganda,2021,US$,42661087760,"$42,661,087,760 "
225,Ukraine,2021,US$,2.00E+11,"$200,086,000,000 "
226,United Arab Emirates,2021,US$,4.05E+11,"$405,468,000,000 "
227,United Kingdom of Great Britain and Northern Ireland,2021,US$,3.13E+12,"$3,131,380,000,000 "
228,United Republic of Tanzania: Mainland,2021,US$,70296924623,"$70,296,924,623 "
229,United Republic of Tanzania: Zanzibar,2021,US$,2080370102,"$2,080,370,102 "
230,United States,2021,US$,2.33E+13,"$23,315,100,000,000 "
