Country/Area,Year,Unit,"GDP, Per Capita GDP - US Dollars","GDP, Per Capita GDP - US Dollars in Int"
Melanesia,2021,US$,3574.990241183722,3574
Mexico,2021,US$,10045.676371041029,10045
Micronesia,2021,US$,4009.763391938156,4009
Micronesia (Federated States of),2021,US$,3572.6551519919385,3572
Middle Africa,2021,US$,1219.463681059283,1219
Monaco,2021,US$,234317.08481827597,234317
Mongolia,2021,US$,4509.85839327106,4509
Montenegro,2021,US$,9252.311915536213,9252
Montserrat,2021,US$,16199.419582589155,16199
Morocco,2021,US$,3853.2833317302475,3853
Mozambique,2021,US$,491.83911277653095,491
Myanmar,2021,US$,1088.9252062864941,1088
Namibia,2021,US$,4836.174241463731,4836
Nauru,2021,US$,12390.370114941867,12390
Nepal,2021,US$,1205.5000022008517,1205
Netherlands,2021,US$,57871.349209626766,57871
New Caledonia,2021,US$,34994.26583446173,34994
New Zealand,2021,US$,48823.507779533866,48823
Nicaragua,2021,US$,2045.534286650415,2045
Niger,2021,US$,590.6294772651623,590
Nigeria,2021,US$,2019.308062818724,2019
Northern Africa,2021,US$,3345.9989916354734,3345
Northern America,2021,US$,67454.66936662084,67454
Northern Europe,2021,US$,53057.2107897439,53057
Norway,2021,US$,89241.71393780549,89241
Oceania,2021,US$,46087.60397920243,46087
Oman,2021,US$,19509.466486400015,19509
Pakistan,2021,US$,1480.1107268919275,1480
Palau,2021,US$,12084.128273413227,12084
Panama,2021,US$,14617.596617490952,14617
Papua New Guinea,2021,US$,2672.9671739215005,2672
Paraguay,2021,US$,6035.143063868031,6035
Peru,2021,US$,6621.65260383678,6621
Philippines,2021,US$,3460.5311230111492,3460
Poland,2021,US$,17736.419557001722,17736
Polynesia,2021,US$,11828.380870114353,11828
Portugal,2021,US$,24651.176434873312,24651
Puerto Rico,2021,US$,32716.456983785152,32716
Qatar,2021,US$,66798.76705368,66798
Republic of Korea,2021,US$,34940.411261751535,34940
Republic of Moldova,2021,US$,4468.4212899075,4468
Republic of North Macedonia,2021,US$,6599.619340407647,6599
Romania,2021,US$,14697.754288910164,14697
Russian Federation,2021,US$,12258.772019778926,12258
Rwanda,2021,US$,822.3157487276883,822
Saint Kitts and Nevis,2021,US$,18082.68798984255,18082
Saint Lucia,2021,US$,9824.062102302467,9824
Saint Vincent and the Grenadines,2021,US$,8440.025094392402,8440
Samoa,2021,US$,3918.6581040844385,3918
San Marino,2021,US$,50425.10214352892,50425
Sao Tome and Principe,2021,US$,2485.8175523774357,2485
Saudi Arabia,2021,US$,23185.870791780246,23185
Senegal,2021,US$,1636.8798252104932,1636
Serbia,2021,US$,8643.29239749049,8643
Seychelles,2021,US$,12084.627638868453,12084
Sierra Leone,2021,US$,504.6212380524163,504
Singapore,2021,US$,66821.71611365848,66821
Sint Maarten (Dutch part),2021,US$,26198.692766351265,26198
Slovakia,2021,US$,21390.452769612075,21390
Slovenia,2021,US$,29134.800031549923,29134
Solomon Islands,2021,US$,2305.981147127287,2305
Somalia,2021,US$,446.9977572930787,446
South Africa,2021,US$,7055.055176227794,7055
South America,2021,US$,7651.556254549685,7651
South Sudan,2021,US$,400.44290293550324,400
South-Eastern Asia,2021,US$,4945.765561555356,4945
Southern Africa,2021,US$,6706.996632221804,6706
Southern Asia,2021,US$,2361.459954050685,2361
Southern Europe,2021,US$,28211.30594044663,28211
Spain,2021,US$,30058.387244713747,30058
Sri Lanka,2021,US$,3918.0191676061354,3918
State of Palestine,2021,US$,3513.6221819802577,3513
Sub-Saharan Africa,2021,US$,1647.6795999810508,1647
Sudan,2021,US$,785.5772952207608,785
Suriname,2021,US$,5259.2629718757535,5259
Sweden,2021,US$,60729.71342500841,60729
Switzerland,2021,US$,93525.3661913239,93525
Syrian Arab Republic,2021,US$,924.7117833166537,924
Tajikistan,2021,US$,897.0514764239653,897
Thailand,2021,US$,7066.675486756309,7066
Timor-Leste,2021,US$,1517.2238811393688,1517
Togo,2021,US$,943.9393541119674,943
Tonga,2021,US$,4450.53149261273,4450
Trinidad and Tobago,2021,US$,16032.502768209933,16032
Tunisia,2021,US$,3807.1845631020587,3807
Turkmenistan,2021,US$,8507.667600185028,8507
Turks and Caicos Islands,2021,US$,20908.581992286207,20908
Tuvalu,2021,US$,5370.419270528364,5370
Türkiye,2021,US$,9661.227734204242,9661
Uganda,2021,US$,930.3723623450493,930
Ukraine,2021,US$,4596.34917496562,4596
United Arab Emirates,2021,US$,43295.39308165127,43295
United Kingdom of Great Britain and Northern Ireland,2021,US$,46541.756926880305,46541
United Republic of Tanzania: Mainland,2021,US$,1136.190395169359,1136
United Republic of Tanzania: Zanzibar,2021,US$,1211.2019174319107,1211
United States,2021,US$,69184.70440017109,69184
Uruguay,2021,US$,17312.641777909364,17312
Uzbekistan,2021,US$,2031.5715791941673,2031
Vanuatu,2021,US$,3072.5722206429637,3072
Venezuela (Bolivarian Republic of),2021,US$,3965.034328095608,3965
Viet Nam,2021,US$,3756.4889009138597,3756
Western Africa,2021,US$,1732.974995524892,1732
Western Asia,2021,US$,11865.098449193343,11865
Western Europe,2021,US$,51681.147890526554,51681
World,2021,US$,12229.120883010406,12229
Yemen,2021,US$,301.5864334096286,301
Zambia,2021,US$,1094.50161325854,1094
Zimbabwe,2021,US$,1507.9947898912085,1507
